city_name,city_id,lat,lon,unix_dt,temp_max_c,temp_max_f,humidity,cloudiness,windspeed
Dalianwan,1921372,39.03,121.69,1579899219,-7.0,19.4,85,84,1.0
Ouadda,236901,8.08,22.4,1579899219,16.12,61.016000000000005,19,21,2.56
Massaguet,2428231,12.48,15.44,1579899219,22.0,71.6,12,0,4.1
Cap Malheureux,934649,-19.98,57.61,1579899220,27.0,80.6,94,75,5.7
Bac Lieu,1591474,9.29,105.72,1579899000,22.37,72.266,95,37,2.96
Rundu,3353383,-17.93,19.77,1579899220,26.0,78.80000000000001,41,79,1.0
Davila,1715335,18.47,120.58,1579899220,24.93,76.874,74,82,5.14
Quatre Cocos,1106643,-20.21,57.76,1579898642,27.0,80.6,94,75,5.7
Severomuysk,2016907,56.15,113.43,1579899220,-22.72,-8.896,77,100,2.26
Ritchie,961226,-29.04,24.6,1579899220,20.0,68.0,68,16,6.7
Truro,2635412,50.27,-5.05,1579899220,6.11,42.998000000000005,87,75,3.1
Deutschlandsberg,2781023,46.82,15.22,1579899221,-2.0,28.4,100,75,1.0
Port Hedland,2063042,-20.32,118.57,1579899221,27.0,80.6,88,0,2.6
Kamareddi,1268259,18.32,78.35,1579899221,19.54,67.172,57,27,1.11
Asau,686090,46.43,26.4,1579899221,-1.11,30.002,79,0,0.5
Castro,3466704,-24.79,-50.01,1579899195,20.31,68.55799999999999,77,2,2.5
Olafsvik,3414079,64.89,-23.71,1579899221,-0.49,31.118,78,100,8.48
Salalah,286621,17.02,54.09,1579899221,25.0,77.0,73,20,2.1
Anloga,2304548,5.79,0.9,1579899222,29.0,84.2,66,0,2.1
Ilulissat,3423146,69.22,-51.1,1579899203,-7.0,19.4,62,75,6.7
Teya,1489656,60.38,92.63,1579899196,-6.03,21.146,93,59,3.23
Leh,1264976,34.17,77.58,1579899222,-21.12,-6.016000000000005,80,97,1.67
Ulladulla,2145554,-35.35,150.47,1579898623,20.0,68.0,100,90,2.6
Kankan,2419992,10.39,-9.31,1579899222,25.8,78.44,13,100,2.48
Kenai,5866063,60.55,-151.26,1579899222,-10.0,14.0,83,20,1.5
Indianola,4861719,41.36,-93.56,1579899223,0.56,33.008,97,90,5.1
Cambridge,5913695,43.36,-80.31,1579899023,3.0,37.4,80,90,4.6
Marzuq,72181,14.4,46.47,1579899223,19.33,66.794,69,100,0.61
Aswan,359792,24.09,32.91,1579899223,10.55,50.99,56,0,5.01
Tabou,2281120,4.42,-7.35,1579899223,25.79,78.422,92,2,1.38
Gisborne,2206854,-38.65,178.0,1579899223,28.89,84.00200000000001,60,1,1.79
Dubti,338554,11.74,41.09,1579899225,24.31,75.758,61,100,6.25
Lompoc,5367788,34.64,-120.46,1579899225,23.33,73.994,46,1,4.6
Dunedin,2191562,-45.87,170.5,1579899204,21.11,69.99799999999999,68,100,5.73
Chu,1519030,43.6,73.76,1579899225,6.11,42.998000000000005,44,100,0.45
Mayor Pablo Lagerenza,3867427,-19.93,-60.77,1579899225,35.07,95.126,25,10,4.81
Pecos,5528182,31.42,-103.49,1579899225,16.0,60.8,34,1,1.41
Suntar,2015913,62.14,117.63,1579899226,-26.95,-16.509999999999998,97,94,2.29
Mapastepec,3523590,15.43,-92.9,1579899078,30.08,86.144,52,31,4.16
Sao Filipe,3374210,14.9,-24.5,1579899226,22.74,72.93199999999999,70,0,4.96
Buenos Aires,3435910,-34.61,-58.38,1579898419,33.33,91.994,48,4,5.1
Altamont,5711149,42.21,-121.74,1579899226,7.22,44.996,81,20,3.1
Cayenne,3382160,4.93,-52.33,1579899103,28.0,82.4,69,20,4.6
Umm Lajj,100926,25.02,37.27,1579899226,13.63,56.534000000000006,64,0,3.91
Tuatapere,2180815,-46.13,167.68,1579899227,15.0,59.0,96,100,2.24
Buchanan,2278158,5.88,-10.05,1579899227,25.41,77.738,90,32,1.63
Isangel,2136825,-19.55,169.27,1579899227,24.0,75.2,88,40,2.6
Luba,2309528,3.46,8.55,1579899227,26.0,78.80000000000001,88,20,2.1
Behbahan,140951,30.6,50.24,1579899227,5.0,41.0,100,0,0.7
Dzilam Gonzalez,3529654,21.28,-88.93,1579899227,22.81,73.05799999999999,73,66,5.85
Mitsamiouli,921786,-11.38,43.28,1579899227,24.0,75.2,94,40,2.6
Sao Joao da Barra,3448903,-21.64,-41.05,1579899227,25.0,77.0,94,90,6.24
Bonfim,3405215,3.08,-59.95,1579898633,35.57,96.026,31,100,4.64
Hamilton,4513583,39.18,-84.53,1579899002,9.0,48.2,93,90,3.0
Chumphon,1153555,10.33,98.83,1579899228,20.89,69.602,97,74,0.72
Grootfontein,3357114,-19.57,18.12,1579899228,20.07,68.126,79,87,2.95
Saint-Joseph,6690296,-21.37,55.62,1579899228,26.0,78.80000000000001,100,100,10.3
Tuskegee,4094490,32.42,-85.69,1579899229,16.67,62.006,41,1,2.6
Garoua,2231320,9.3,13.4,1579899229,20.0,68.0,20,19,1.5
Bilibino,2126682,68.05,166.44,1579899229,-28.16,-18.688000000000002,71,100,1.09
Tahoua,2439376,14.89,5.27,1579899229,25.0,77.0,5,13,3.1
Kamina,214614,-8.74,24.99,1579899229,18.56,65.408,94,100,0.66
San Patricio,3985168,19.22,-104.7,1579899229,29.0,84.2,66,40,5.1
Mossamedes,3347019,-15.2,12.15,1579899225,23.7,74.66,79,21,4.76
Tanete,1629965,-3.94,119.78,1579899230,23.37,74.066,95,21,0.68
Manzhouli,2035836,49.6,117.43,1579899230,-24.59,-12.262,82,0,0.8
Puerto del Rosario,2512186,28.5,-13.86,1579899230,18.0,64.4,68,20,2.1
Tual,1623197,-5.67,132.75,1579899230,28.64,83.55199999999999,73,99,3.37
